i: 0, filename: test_spam/spmsga142.txt, predicted category: 1
i: 184, filename: test_ling/5-1453msg3.txt, predicted category: 0
i: 185, filename: test_ling/5-1454msg1.txt, predicted category: 0
i: 186, filename: test_ling/5-1454msg2.txt, predicted category: 0
i: 187, filename: test_ling/5-1455msg1.txt, predicted category: 0
i: 188, filename: test_ling/5-1455msg2.txt, predicted category: 0
i: 189, filename: test_ling/5-1455msg3.txt, predicted category: 0
i: 190, filename: test_ling/5-1458msg1.txt, predicted category: 0
i: 191, filename: test_ling/5-1459msg1.txt, predicted category: 0
i: 192, filename: test_ling/5-1459msg2.txt, predicted category: 0
i: 193, filename: test_ling/5-1459msg3.txt, predicted category: 0
i: 194, filename: test_ling/5-1460msg1.txt, predicted category: 1
i: 195, filename: test_ling/5-1462msg1.txt, predicted category: 0
i: 196, filename: test_ling/5-1462msg2.txt, predicted category: 0
i: 197, filename: test_ling/5-1462msg3.txt, predicted category: 0
i: 198, filename: test_ling/5-1463msg1.txt, predicted category: 0
i: 199, filename: test_ling/5-1464msg1.txt, predicted category: 0
i: 200, filename: test_ling/5-1466msg1.txt, predicted category: 0
i: 201, filename: test_ling/5-1468msg1.txt, predicted category: 0
i: 202, filename: test_ling/5-1470msg1.txt, predicted category: 0
i: 203, filename: test_ling/5-1471msg1.txt, predicted category: 0
i: 204, filename: test_ling/5-1472msg1.txt, predicted category: 0
i: 205, filename: test_ling/5-1473msg1.txt, predicted category: 0
i: 206, filename: test_ling/5-1474msg1.txt, predicted category: 0
i: 207, filename: test_ling/5-1475msg1.txt, predicted category: 0
i: 208, filename: test_ling/5-1479msg1.txt, predicted category: 0
i: 209, filename: test_ling/5-1482msg1.txt, predicted category: 1
i: 210, filename: test_ling/5-1482msg2.txt, predicted category: 0
i: 211, filename: test_ling/5-1482msg3.txt, predicted category: 0
i: 212, filename: test_ling/5-1482msg4.txt, predicted category: 0
i: 213, filename: test_ling/5-1482msg5.txt, predicted category: 0
i: 214, filename: test_ling/5-1484msg1.txt, predicted category: 0
i: 215, filename: test_ling/5-1486msg1.txt, predicted category: 0
i: 216, filename: test_ling/5-1487msg1.txt, predicted category: 0
i: 217, filename: test_ling/5-1488msg1.txt, predicted category: 0
i: 218, filename: test_ling/5-1488msg2.txt, predicted category: 0
i: 219, filename: test_ling/5-1488msg3.txt, predicted category: 0
i: 220, filename: test_ling/5-1490msg1.txt, predicted category: 0
i: 221, filename: test_ling/5-1491msg1.txt, predicted category: 0
i: 222, filename: test_ling/5-1492msg1.txt, predicted category: 0
i: 223, filename: test_ling/5-1495msg1.txt, predicted category: 0
i: 224, filename: test_ling/5-1496msg1.txt, predicted category: 0
i: 225, filename: test_ling/5-1496msg2.txt, predicted category: 0
i: 226, filename: test_ling/5-1496msg3.txt, predicted category: 1
i: 227, filename: test_ling/5-1497msg1.txt, predicted category: 0
i: 228, filename: test_ling/5-1498msg1.txt, predicted category: 0
i: 229, filename: test_ling/5-1499msg1.txt, predicted category: 0
i: 230, filename: test_ling/5-1503msg1.txt, predicted category: 0
i: 231, filename: test_ling/5-1504msg1.txt, predicted category: 0
i: 232, filename: test_ling/5-1505msg1.txt, predicted category: 0
i: 233, filename: test_ling/5-1506msg1.txt, predicted category: 1
i: 234, filename: test_ling/5-1508msg1.txt, predicted category: 0
i: 235, filename: test_ling/5-1508msg2.txt, predicted category: 1
i: 236, filename: test_ling/5-1508msg3.txt, predicted category: 0
i: 237, filename: test_ling/5-1509msg1.txt, predicted category: 0
i: 238, filename: test_ling/5-1510msg1.txt, predicted category: 0
i: 239, filename: test_ling/5-1510msg2.txt, predicted category: 0
i: 240, filename: test_ling/5-1510msg3.txt, predicted category: 0
i: 241, filename: test_ling/5-1511msg1.txt, predicted category: 0
i: 242, filename: test_ling/6-1000msg1.txt, predicted category: 0
i: 243, filename: test_ling/6-1001msg1.txt, predicted category: 0
i: 244, filename: test_ling/6-1002msg1.txt, predicted category: 0
i: 245, filename: test_ling/6-1003msg1.txt, predicted category: 0
i: 246, filename: test_ling/6-1004msg1.txt, predicted category: 0
i: 247, filename: test_ling/6-1005msg1.txt, predicted category: 0
i: 248, filename: test_ling/6-1008msg1.txt, predicted category: 0
i: 249, filename: test_ling/6-1009msg1.txt, predicted category: 0
i: 250, filename: test_ling/6-1010msg1.txt, predicted category: 0
i: 251, filename: test_ling/6-1011msg1.txt, predicted category: 1
i: 252, filename: test_ling/6-1013msg1.txt, predicted category: 0
i: 253, filename: test_ling/6-1017msg1.txt, predicted category: 0
i: 254, filename: test_ling/6-1018msg1.txt, predicted category: 0
i: 255, filename: test_ling/6-1019msg1.txt, predicted category: 0
i: 256, filename: test_ling/6-1020msg1.txt, predicted category: 0
i: 257, filename: test_ling/6-1021msg1.txt, predicted category: 0
i: 258, filename: test_ling/6-1022msg1.txt, predicted category: 0
i: 259, filename: test_ling/6-1025msg1.txt, predicted category: 0
i: 260, filename: test_ling/6-1029msg1.txt, predicted category: 0
i: 261, filename: test_ling/6-1030msg1.txt, predicted category: 0
i: 262, filename: test_ling/6-1030msg2.txt, predicted category: 0
i: 263, filename: test_ling/6-1030msg3.txt, predicted category: 0
i: 264, filename: test_ling/6-1031msg1.txt, predicted category: 0
i: 265, filename: test_ling/6-1032msg1.txt, predicted category: 0
i: 266, filename: test_ling/6-1033msg1.txt, predicted category: 0
i: 267, filename: test_ling/6-1035msg1.txt, predicted category: 1
i: 268, filename: test_ling/6-1036msg1.txt, predicted category: 0
i: 269, filename: test_ling/6-1036msg2.txt, predicted category: 0
i: 270, filename: test_ling/6-1036msg3.txt, predicted category: 0
i: 271, filename: test_ling/6-1037msg1.txt, predicted category: 0
i: 272, filename: test_ling/6-1037msg2.txt, predicted category: 0
i: 273, filename: test_ling/6-1037msg3.txt, predicted category: 0
i: 274, filename: test_ling/6-1039msg1.txt, predicted category: 0
i: 275, filename: test_ling/6-1040msg1.txt, predicted category: 0
i: 276, filename: test_ling/6-1041msg1.txt, predicted category: 0
i: 277, filename: test_ling/6-1044msg1.txt, predicted category: 0
i: 278, filename: test_ling/6-1045msg1.txt, predicted category: 0
i: 279, filename: test_ling/6-1047msg1.txt, predicted category: 0
i: 280, filename: test_ling/6-1048msg1.txt, predicted category: 0
i: 281, filename: test_ling/6-1049msg1.txt, predicted category: 0
i: 282, filename: test_ling/6-1050msg1.txt, predicted category: 0
i: 283, filename: test_ling/6-1050msg2.txt, predicted category: 0
i: 284, filename: test_ling/6-1050msg3.txt, predicted category: 0
i: 285, filename: test_ling/6-1051msg1.txt, predicted category: 0
i: 286, filename: test_ling/6-1052msg1.txt, predicted category: 0
i: 287, filename: test_ling/6-1055msg1.txt, predicted category: 1
i: 288, filename: test_ling/6-1056msg1.txt, predicted category: 0

Ntest: 289
wrong counter: 20
true positives: 46
false positives: 2
true negatives: 223
false negatives: 18
kNN evaluation:
accuracy: 0.930796
precision: 0.958333
recall: 0.71875
